HOST_TYPE,MODEL_TYPE,FEATURE_TYPE,INCLUDE_NON_KP_GENOMES_IN_TRAINING,INCLUDE_NON_KP_GENOMES_IN_TESTING,OVERSAMPLING,ST,#SAMPLES_TEST_SET,precision0,recall0,precision1,recall1,f1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3614,2,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3615,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3686,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3698,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_37,2,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_377,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3787,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_38,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3813,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3832,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3834,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3874,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3947,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_395,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_412,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_418,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_4226,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_437,2,1.0,0.5,0.0,-1,0.6666666666666666
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_45,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_463,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_474,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_48,7,0.8,1.0,1.0,0.6666666666666666,0.8444444444444446
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_485,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_489,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_490,3,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_514,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_54,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_540,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_6,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_6005,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_6060,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_6161,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_628,2,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_70,2,-1,0.0,0.5,1.0,0.6666666666666666
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_711,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_776,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_831,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_86,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_941,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_976,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_985,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_New_32,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,Exclude,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kaerogenes_128,2,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kaerogenes_246,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kaerogenes_4,3,0.3333333333333333,1.0,-1,0.0,0.5
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kaerogenes_586,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kaerogenes_93,2,0.5,1.0,-1,0.0,0.6666666666666666
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,koxytoca_153,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,koxytoca_170,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,koxytoca_176,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,koxytoca_199,3,0.6666666666666666,1.0,-1,0.0,0.8
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,koxytoca_216,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,koxytoca_383,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,koxytoca_53,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,koxytoca_New_122,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,koxytoca_New_131,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_101,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1012,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_104,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1050,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_11,23,0.65,0.9285714285714286,0.6666666666666666,0.2222222222222222,0.5490196078431373
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1180,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1243,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_13,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1380,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_14,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1423,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1435,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_147,3,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_15,15,0.5555555555555556,1.0,1.0,0.6,0.7321428571428571
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_158,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_16,6,1.0,1.0,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1686,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1688,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_171,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_189,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_196,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_1994,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_20,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_2097,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_2263,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_23,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_234,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_25,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_252,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_258,52,0.8936170212765957,0.9545454545454546,0.6,0.375,0.6923076923076923
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_268,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_29,4,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_307,3,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3164,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3321,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_334,5,1.0,1.0,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_336,4,0.5,1.0,1.0,0.6666666666666666,0.7333333333333334
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3395,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_34,3,0.0,-1,1.0,0.6666666666666666,0.8
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_340,4,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_343,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_347,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_35,2,1.0,1.0,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3614,2,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3615,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3686,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3698,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_37,2,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_377,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3787,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_38,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3813,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3832,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3834,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3874,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_3947,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_395,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_412,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_418,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_4226,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_437,2,1.0,0.5,0.0,-1,0.6666666666666666
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_45,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_463,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_474,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_48,7,0.8,1.0,1.0,0.6666666666666666,0.8444444444444446
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_485,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_489,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_490,3,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_514,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_54,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_540,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_6,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_6005,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_6060,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_6161,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_628,2,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_70,2,-1,0.0,0.5,1.0,0.6666666666666666
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_711,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_776,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_831,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_86,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_941,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_976,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_985,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,YES,True,kpneumoniae_New_32,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,Exclude,2,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_101,3,1.0,1.0,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_104,1,0.0,-1,-1,0.0,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_105,1,0.0,-1,-1,0.0,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_11,22,0.8666666666666667,0.8125,0.5714285714285714,0.6666666666666666,0.7270471464019851
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_111,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_113,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1180,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1213,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1263,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_13,1,0.0,-1,-1,0.0,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1318,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1380,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_14,3,1.0,1.0,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1466,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_147,2,1.0,1.0,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_15,12,0.7142857142857143,0.8333333333333334,0.8,0.6666666666666666,0.7482517482517481
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1528,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_16,3,1.0,1.0,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1683,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_17,7,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1787,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_18,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_1801,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_20,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_215,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_22,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_23,3,1.0,1.0,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_2436,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_2459,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_25,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_252,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_258,46,0.8695652173913043,1.0,-1,0.0,0.9302325581395349
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_29,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_307,6,0.75,0.6,0.0,0.0,0.6666666666666665
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_323,2,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_3321,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_334,10,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_336,3,0.3333333333333333,1.0,-1,0.0,0.5
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_3395,3,-1,0.0,0.6666666666666666,1.0,0.8
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_34,2,1.0,1.0,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_340,6,1.0,1.0,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_3527,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_3665,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_367,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_37,3,1.0,1.0,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_3787,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_380,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_3899,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_39,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_3947,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_416,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_418,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_42,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_437,4,0.5,1.0,-1,0.0,0.6666666666666666
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_442,1,0.0,-1,-1,0.0,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_45,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_48,2,0.5,1.0,-1,0.0,0.6666666666666666
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_490,2,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_512,1,0.0,-1,-1,0.0,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_514,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_54,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_540,2,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_580,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_596,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_6,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_6033,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_628,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_656,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_661,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_678,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_70,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_719,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_776,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_86,2,1.0,1.0,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_874,3,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_941,1,-1,0.0,0.0,-1,-1
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_976,2,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_985,1,-1,-1,1.0,1.0,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_New_11,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_New_111,1,1.0,1.0,-1,-1,1.0
human,hv_vs_lv,baseline,NO,NO,True,kpneumoniae_New_52,1,0.0,-1,-1,0.0,-1
